"slope","Epoch","N","Acc","sd","se","ci"
"0.005",0,20,0.102500002272427,0.0505886409074355,0.0113119639958352,0.0236762127458839
"0.005",10,20,0.112500001303852,0.0503278720441358,0.0112536543053599,0.0235541691611139
"0.005",20,20,0.264999999850988,0.0971298641785113,0.0217188978948473,0.0454581757291534
"0.005",30,20,0.397499997913837,0.0715891029391079,0.0160078100620075,0.0335047315181811
"0.005",40,20,0.570000003278256,0.0705243554780723,0.0157697252918329,0.0330064143672174
"0.005",50,20,0.629999998211861,0.0887041129811097,0.0198348426509583,0.0415148027838596
"0.005",60,20,0.733749997615814,0.0753391414023057,0.0168463441542024,0.0352598035435865
"0.005",70,20,0.807500004768372,0.0602079675793382,0.0134629108294504,0.0281781962083938
"0.005",80,20,0.798749995231628,0.0609545782356039,0.013629858047464,0.0285276207515127
"0.005",90,20,0.834999999403954,0.057008773566141,0.0127475493007784,0.0266809273212851
"0.005",100,20,0.875000005960464,0.0444261675972721,0.00993399307272988,0.0207920864575492
"0.005",110,20,0.883749994635582,0.0501805933914171,0.0112207217974485,0.0234852406298834
"0.005",120,20,0.906249991059303,0.029103939750271,0.00650783876946642,0.0136210630867042
"0.005",130,20,0.908749997615814,0.039962980368605,0.00893599406876904,0.0187032505359836
"0.005",140,20,0.920000004768372,0.0455954751688468,0.0101954581943945,0.021339339246582
"0.005",150,20,0.921250000596046,0.044629323066227,0.0099794200165883,0.0208871661437631
"0.005",160,20,0.933749997615814,0.0399629866485903,0.00893599547301643,0.0187032534751072
"0.005",170,20,0.941249999403954,0.0317007001148543,0.00708849203911496,0.0148363843473494
"0.005",180,20,0.937499997019768,0.0329473270971416,0.00736724630661294,0.0154198237344917
"0.005",190,20,0.948750004172325,0.0432822732770045,0.00967821052681047,0.020256727436242
"0.005",200,20,0.941249996423721,0.0382813424786432,0.00855996840521964,0.0179162197770998
"0.005",210,20,0.957500010728836,0.0354482567053645,0.00792647116770577,0.0165902948205821
"0.005",220,20,0.941249996423721,0.0306454699395816,0.00685253539873307,0.0143425214232328
"0.005",230,20,0.960000005364418,0.0296913996114016,0.00663919878782048,0.0138960027649068
"0.005",240,20,0.951250004768372,0.0339068127348874,0.00758179381755637,0.0158688768357097
"0.005",250,20,0.965000006556511,0.0248680757330281,0.00556067078086637,0.0116386177029987
"0.005",260,20,0.960000005364418,0.0357255706472099,0.00798848045021325,0.0167200817404669
"0.005",270,20,0.973750007152557,0.0367020327797947,0.00820682402080465,0.0171770800858401
"0.005",280,20,0.966250005364418,0.0284177021270106,0.0063543913720336,0.0132998939927909
"0.005",290,20,0.958750003576279,0.0295525889050008,0.00660815977026878,0.0138310373545458
"0.005",300,20,0.962500005960464,0.0348870406918911,0.00780097945208698,0.016327637641163
"0.005",310,20,0.953750002384186,0.0284177055767608,0.00635439214342119,0.0132998956073237
"0.005",320,20,0.963750001788139,0.0447764963940634,0.01001232897314,0.0209560453814313
"0.005",330,20,0.96625000834465,0.0272355770589165,0.00609006017101712,0.0127466424307328
"0.005",340,20,0.965000006556511,0.0273861344046243,0.00612372581696856,0.0128171054375164
"0.005",350,20,0.975000008940697,0.0269013770101647,0.00601533076830782,0.0125902319932907
"0.005",360,20,0.971250009536743,0.0203181966909306,0.00454328689811322,0.00950920876382908
"0.005",370,20,0.97875000834465,0.0186289971090523,0.00416557038884881,0.00871863902419154
"0.005",380,20,0.976250004768372,0.0206394529429038,0.0046151219798741,0.009659561317905
"0.005",390,20,0.96625000834465,0.0415766556186555,0.00929682282404123,0.0194584738002905
"0.005",400,20,0.975000011920929,0.0229415720196357,0.00512989145466126,0.0107369862111096
"0.005",410,20,0.978750005364418,0.0259997515775174,0.00581372119254362,0.0121682583016172
"0.005",420,20,0.980000004172325,0.0237863299503496,0.00531878507042209,0.0111323450926212
"0.005",430,20,0.983750012516975,0.018628987636658,0.00416556827075705,0.00871863459097453
"0.005",440,20,0.978750005364418,0.0259997455445988,0.00581371984354202,0.0121682554781244
"0.005",450,20,0.983750009536743,0.016770506464179,0.0037499992471004,0.00784883862819418
"0.005",460,20,0.97375001013279,0.0206394508529771,0.00461512151255229,0.0096595603397892
"0.005",470,20,0.982500010728836,0.0164236638861282,0.0036724428888991,0.00768651130490657
