Iteration,Slope,Layer,Inactive_Percentage
0,0.005,conv_block1_relu,43.461578521713555
0,0.005,conv_block2_relu,53.63448559889468
0,0.005,conv_block3_relu,78.9700090392562
0,0.05,conv_block1_relu,69.81346804234879
0,0.05,conv_block2_relu,66.09761930066958
0,0.05,conv_block3_relu,78.94418259297521
0,0.5,conv_block1_relu,61.92943706499363
0,0.5,conv_block2_relu,50.875491550643005
0,0.5,conv_block3_relu,51.99590005165289
1,0.005,conv_block1_relu,46.3830139202039
1,0.005,conv_block2_relu,53.2654904878308
1,0.005,conv_block3_relu,66.17946151859503
1,0.05,conv_block1_relu,70.67061440054897
1,0.05,conv_block2_relu,80.29778669359125
1,0.05,conv_block3_relu,69.46829803719008
1,0.5,conv_block1_relu,49.79903930987158
1,0.5,conv_block2_relu,51.40390849186949
1,0.5,conv_block3_relu,54.01197701446281
2,0.005,conv_block1_relu,40.54090897951181
2,0.005,conv_block2_relu,56.43964555213093
2,0.005,conv_block3_relu,73.26155733471074
2,0.05,conv_block1_relu,75.8016983629056
2,0.05,conv_block2_relu,74.54099798065683
2,0.05,conv_block3_relu,69.34642949380165
2,0.5,conv_block1_relu,73.41115454367218
2,0.5,conv_block2_relu,50.59052502922734
2,0.5,conv_block3_relu,52.531798811983464
3,0.005,conv_block1_relu,25.866489804921084
3,0.005,conv_block2_relu,55.17390264640238
3,0.005,conv_block3_relu,71.92826704545455
3,0.05,conv_block1_relu,78.09850137241446
3,0.05,conv_block2_relu,76.48096237644808
3,0.05,conv_block3_relu,68.2835098140496
3,0.5,conv_block1_relu,27.904433388883444
3,0.5,conv_block2_relu,49.95184132213838
3,0.5,conv_block3_relu,51.39220686983471
4,0.005,conv_block1_relu,46.60281467503186
4,0.005,conv_block2_relu,50.146136677649054
4,0.005,conv_block3_relu,76.36476627066115
4,0.05,conv_block1_relu,86.95853960396039
4,0.05,conv_block2_relu,67.5832314804974
4,0.05,conv_block3_relu,80.21855630165288
4,0.5,conv_block1_relu,44.20706303303598
4,0.5,conv_block2_relu,47.87005792326496
4,0.5,conv_block3_relu,52.5051652892562
5,0.005,conv_block1_relu,38.64281075384766
5,0.005,conv_block2_relu,54.600648315442655
5,0.005,conv_block3_relu,77.53744834710744
5,0.05,conv_block1_relu,78.96973948632487
5,0.05,conv_block2_relu,74.6223695398023
5,0.05,conv_block3_relu,72.2866089876033
5,0.5,conv_block1_relu,66.45243113420253
5,0.5,conv_block2_relu,49.611409288978635
5,0.5,conv_block3_relu,52.558432334710744
6,0.005,conv_block1_relu,56.49982232134104
6,0.005,conv_block2_relu,56.727933361674985
6,0.005,conv_block3_relu,69.7604597107438
6,0.05,conv_block1_relu,74.04758111949809
6,0.05,conv_block2_relu,68.45573387182485
6,0.05,conv_block3_relu,72.03802944214877
6,0.5,conv_block1_relu,45.895316635623956
6,0.5,conv_block2_relu,49.22182219151876
6,0.5,conv_block3_relu,52.230759297520656
7,0.005,conv_block1_relu,41.91470199000098
7,0.005,conv_block2_relu,52.81379530237007
7,0.005,conv_block3_relu,74.55045841942149
7,0.05,conv_block1_relu,75.0664763258504
7,0.05,conv_block2_relu,86.00807737272824
7,0.05,conv_block3_relu,68.54419550619835
7,0.5,conv_block1_relu,67.1852024311342
7,0.5,conv_block2_relu,50.370323626315226
