"slope","Epoch","N","Acc","sd","se","ci"
"0.005",0,20,0.0937500012107193,0.0333196235096693,0.00745049431523206,0.0155940638190131
"0.005",10,20,0.105000001285225,0.0463113025859606,0.010355522070877,0.0216743567903016
"0.005",20,20,0.102500001527369,0.0450876340963918,0.0100819014784169,0.0211016623085014
"0.005",30,20,0.143750001490116,0.0773215274380717,0.0172896191475644,0.0361875887674107
"0.005",40,20,0.212500000931323,0.129650339517872,0.028990697246789,0.060678226691598
"0.005",50,20,0.317500000447035,0.108851661636894,0.0243399714883902,0.0509441458088131
"0.005",60,20,0.408749998360872,0.142643052592292,0.0318959562114443,0.0667590035889071
"0.005",70,20,0.551249997317791,0.106830841903859,0.0238881024590562,0.0499983730609748
"0.005",80,20,0.631250004470348,0.0969519030021864,0.0216791045660855,0.0453748873348499
"0.005",90,20,0.666249993443489,0.107689551243466,0.0240801157046837,0.0504002614028383
"0.005",100,20,0.741250005364418,0.0847888273505528,0.0189593581688329,0.03968239270351
"0.005",110,20,0.7625,0.0926581081083222,0.0207189828396733,0.0433653294663092
"0.005",120,20,0.820000004768372,0.0776293492890299,0.0173584502059346,0.03633165382827
"0.005",130,20,0.832500001788139,0.0756984957002249,0.0169266982180178,0.0354279865320216
"0.005",140,20,0.848749998211861,0.0558869831177368,0.0124967093308643,0.0261559132304476
"0.005",150,20,0.892499998211861,0.057981393960984,0.0129650338326956,0.0271361276780494
"0.005",160,20,0.890000000596046,0.051554776697777,0.0115279985261052,0.0241283782143216
"0.005",170,20,0.913749995827675,0.0417345914423386,0.00933213834782501,0.019532390041064
"0.005",180,20,0.918749997019768,0.0435852198556883,0.00974595144115926,0.0203985107994416
"0.005",190,20,0.926249998807907,0.0375876190701156,0.0084048471353146,0.0175915472278382
"0.005",200,20,0.938749998807907,0.0348634626993219,0.00779570725267121,0.0163166028009662
"0.005",210,20,0.940000003576279,0.0400657418797804,0.00895897224121493,0.0187513444036392
"0.005",220,20,0.938750004768372,0.037587616357644,0.0084048465287875,0.0175915459583624
"0.005",230,20,0.945000004768372,0.027625319726838,0.00617720928093758,0.0129290476141166
"0.005",240,20,0.943750002980232,0.0450693892901674,0.0100778218157215,0.021093123476346
"0.005",250,20,0.953750005364418,0.0272355878573614,0.0060900625856228,0.0127466474845606
"0.005",260,20,0.961250007152557,0.0297743806214867,0.00665775390575966,0.0139348390730858
"0.005",270,20,0.965000009536743,0.0285620281993745,0.00638666366290674,0.0133674406738793
"0.005",280,20,0.959999999403954,0.0338339698149963,0.00756550564550077,0.015834785299795
"0.005",290,20,0.951250007748604,0.042515478293985,0.00950674995612674,0.0198978563374184
"0.005",300,20,0.966250005364418,0.0233325542465439,0.00521731773839735,0.0109199715259568
"0.005",310,20,0.962500005960464,0.0329473330480916,0.00736724763728582,0.015419826519622
"0.005",320,20,0.97250000834465,0.0213060438949398,0.00476417624806798,0.00997153548664702
"0.005",330,20,0.962500005960464,0.0308860470394979,0.00690633007365734,0.0144551149718483
"0.005",340,20,0.975000008940697,0.0405553572165228,0.00906845355879317,0.0189804914348387
"0.005",350,20,0.971250003576279,0.0259997487118812,0.0058137205517679,0.0121682569604582
"0.005",360,20,0.982500007748604,0.0216126153163306,0.00483272770188683,0.0101150153284545
"0.005",370,20,0.97250000834465,0.033344296160525,0.00745601128768192,0.0156056109750581
"0.005",380,20,0.975000002980232,0.0243332157480582,0.00544107245238266,0.0113882955246153
"0.005",390,20,0.982500004768372,0.0230845119706492,0.00516185379937793,0.0108038841674369
"0.005",400,20,0.986250004172325,0.01897886623894,0.00424380350461456,0.00888238281734055
"0.005",410,20,0.972500014305115,0.0213060409501524,0.00476417558959351,0.0099715341084441
"0.005",420,20,0.976250007748604,0.0249670888392075,0.00558281078447444,0.0116849572631151
"0.005",430,20,0.972500005364418,0.0255208965905836,0.00570664596232876,0.0119441472691461
"0.005",440,20,0.985000005364418,0.0188484253738181,0.00421463604046891,0.00882133461327761
"0.005",450,20,0.982500007748604,0.0216126153163306,0.00483272770188683,0.0101150153284545
"0.005",460,20,0.977500012516975,0.0227977341442961,0.00509772832796141,0.0106696680132619
"0.005",470,20,0.975000005960465,0.0280975726727076,0.00628280824989147,0.0131500687962578
"0.005",480,20,0.983750006556511,0.0186289947935781,0.00416556987109303,0.00871863794051623
"0.005",490,20,0.982500004768372,0.0200328689824312,0.00447948568290632,0.00937567128570056
"0.005",500,20,0.97875000834465,0.0272355724515787,0.00609005914078506,0.0127466402744323
"0.005",510,20,0.990000006556511,0.0149560701673136,0.00334427895703699,0.00699965630172996
"0.005",520,20,0.986250004172325,0.01897886623894,0.00424380350461456,0.00888238281734055
"0.005",530,20,0.995000004768372,0.0102597737363595,0.00229415515082668,0.00480172191522495
"0.005",540,20,0.980000007152557,0.0191942987062612,0.00429197566876362,0.00898320831565745
"0.005",550,20,0.987500008940697,0.0151744177477843,0.0033931029603025,0.00710184611499717
"0.005",560,20,0.988750004768372,0.0171583163348536,0.00383671617041777,0.00803033923462173
"0.005",570,20,0.983750006556511,0.0186289947935781,0.00416556987109303,0.00871863794051624
"0.005",580,20,0.986250013113022,0.0127604324690426,0.00285331944230748,0.00597206622766046
"0.005",590,20,0.990000003576279,0.0170139247094038,0.00380442922142903,0.00796276187374483
"0.005",600,20,0.98500000834465,0.0205195619965774,0.00458831354928684,0.00960345062782493
"0.005",610,20,0.983750012516975,0.0146785669297436,0.00328222734671871,0.00686978078871902
"0.005",620,20,0.986250007152557,0.0171583154206952,0.00383671596600575,0.00803033880678244
"0.005",630,20,0.986250007152557,0.0171583154206952,0.00383671596600575,0.00803033880678244
"0.005",640,20,0.991250002384186,0.0167705092700722,0.00374999987451719,0.00784883994139262
"0.005",650,20,0.990000006556511,0.0149560701673136,0.00334427895703699,0.00699965630172996
"0.005",660,20,0.978750005364418,0.0203181953399483,0.00454328659602439,0.00950920813154989
"0.005",670,20,0.987500008940697,0.0151744177477843,0.0033931029603025,0.00710184611499717
"0.005",680,20,0.988750001788139,0.0189788674786413,0.00424380378182021,0.00888238339753865
"0.005",690,20,0.990000006556511,0.0149560701673136,0.00334427895703699,0.00699965630172996
"0.005",700,20,0.990000006556511,0.0149560701673136,0.00334427895703699,0.00699965630172996
"0.005",710,20,0.991250005364418,0.0146785685326334,0.00328222770513577,0.00686978153889455
"0.005",720,20,0.990000003576279,0.0170139247094038,0.00380442922142903,0.00796276187374483
"0.005",730,20,0.987500008940697,0.0151744177477843,0.0033931029603025,0.00710184611499717
"0.005",740,20,0.990000009536743,0.0125656052652444,0.00280975475515157,0.00588088428952036
"0.005",750,20,0.988750004768372,0.0171583163348536,0.00383671617041777,0.00803033923462173
"0.005",760,20,0.992500007152557,0.0117540474399968,0.00262828490865902,0.00550106353566167
"0.005",770,20,0.988750001788139,0.0249670869544717,0.00558281036303468,0.0116849563810316
"0.005",780,20,0.985000005364418,0.0188484253738181,0.00421463604046891,0.00882133461327761
"0.005",790,20,0.98500000834465,0.0170139228655707,0.00380442880913541,0.00796276101080438
"0.005",800,20,0.988750004768372,0.0171583163348536,0.00383671617041777,0.00803033923462173
"0.005",810,20,0.993750005960464,0.0111065308659596,0.00248349580104853,0.0051980164506166
"0.005",820,20,0.992500001192093,0.0164236677063272,0.00367244374312157,0.00768651309281474
"0.005",830,20,0.988750004768372,0.0171583163348536,0.00383671617041777,0.00803033923462173
