"Sub","slope","Type","N","corr","sd","se","ci"
"Sub1","0.005","Between",720,0.763804415322564,0.0924226313127101,0.00344438810457701,0.00676225988980319
"Sub1","0.005","Within",60,0.975724632382923,0.0171743251788609,0.00221719584666929,0.00443659864150176
"Sub10","0.005","Between",720,0.974137837489198,0.0176504686846353,0.000657794130226266,0.00129142672878999
"Sub10","0.005","Within",60,0.990933677996627,0.00980177529275406,0.00126540374907013,0.00253206705330489
"Sub11","0.005","Between",720,0.827989126769618,0.0785408223591883,0.00292704363006467,0.00574657359575367
"Sub11","0.005","Within",60,0.961787125822508,0.0289532779370616,0.00373785210894514,0.0074794247939767
"Sub12","0.005","Between",720,0.966847384727919,0.0258310586902084,0.00096266671936821,0.00188997358775617
"Sub12","0.005","Within",60,0.992773635401021,0.00730094566334842,0.000942548032190456,0.00188603425603929
"Sub13","0.005","Between",720,0.778547812007916,0.118826371377287,0.00442839739865416,0.00869413468976818
"Sub13","0.005","Within",60,0.961059133436151,0.0261838119595134,0.0033803155886474,0.00676399586936316
"Sub14","0.005","Between",720,0.971659120500935,0.0188532503711499,0.000702619157111907,0.00137943030799331
"Sub14","0.005","Within",60,0.991792342718558,0.00726974875854449,0.000938520529098495,0.00187797524096704
"Sub15","0.005","Between",720,0.797262358940944,0.0783983325034609,0.00292173334667283,0.00573614808175993
"Sub15","0.005","Within",60,0.964135074387791,0.0226393388430007,0.00292272607693628,0.00584836137136755
"Sub16","0.005","Between",720,0.973536948256659,0.0173986105756807,0.000648407932687813,0.00127299909949709
"Sub16","0.005","Within",60,0.993885335874012,0.00443727090635417,0.000572849210764013,0.0011462686230803
"Sub17","0.005","Between",720,0.93821017875615,0.0354416565265677,0.00132083255381007,0.00259314941539466
"Sub17","0.005","Within",60,0.983455444591839,0.0158383143091334,0.00204471758504241,0.00409147043716568
"Sub18","0.005","Between",720,0.860224580444734,0.0855123529379372,0.00318685723475302,0.00625665755391
"Sub18","0.005","Within",60,0.96081607717193,0.0314499085944581,0.0040601657408694,0.00812437288175199
"Sub19","0.005","Between",720,0.581679849445866,0.144437489433167,0.00538286741453282,0.0105680159448507
"Sub19","0.005","Within",60,0.944955950340043,0.0364884374481027,0.00471063701885443,0.00942596290257921
"Sub2","0.005","Between",720,0.986927087065232,0.00825486172555933,0.000307640532720198,0.000603981076385397
"Sub2","0.005","Within",60,0.996661738658915,0.00285038499990884,0.000367983121164212,0.000736332524664083
"Sub20","0.005","Between",720,0.872753657832845,0.0572168612532074,0.00213234652035576,0.00418636951120639
"Sub20","0.005","Within",60,0.97759286300492,0.0160239041897072,0.00206867713559864,0.00413941338708976
"Sub21","0.05","Between",720,0.968398976749141,0.0174320466377278,0.000649654021148434,0.00127544550616224
"Sub21","0.05","Within",60,0.997080299005415,0.00178530290242464,0.000230481613634214,0.000461192643616387
"Sub22","0.05","Between",720,0.986930389358938,0.00612161800597858,0.00022813923322758,0.000447898651169793
"Sub22","0.05","Within",60,0.99854204787342,0.00118449206768331,0.000152917268395075,0.000305986747288428
"Sub23","0.05","Between",720,0.99324524509943,0.00411096170753909,0.0001532064971826,0.000300785544282436
"Sub23","0.05","Within",60,0.999041964986708,0.000702456427806857,9.06867348777437e-05,0.000181463737344281
"Sub24","0.05","Between",720,0.971770789103358,0.012909964760424,0.000481125979857249,0.000944579651522888
"Sub24","0.05","Within",60,0.99662986345133,0.00233853566866557,0.000301903656641793,0.000604107821568175
"Sub25","0.05","Between",720,0.885541981287108,0.0434015366220283,0.0016174797702467,0.00317554765630877
"Sub25","0.05","Within",60,0.991745230446074,0.00503367307945246,0.000649844400232399,0.00130033564134157
"Sub26","0.05","Between",720,0.978293199772563,0.0121996195154918,0.000454652975604546,0.000892606026778698
"Sub26","0.05","Within",60,0.997228727300771,0.00191579664639815,0.000247328283540669,0.000494902752235383
"Sub27","0.05","Between",720,0.995224436422176,0.00251433444805708,9.37037124004175e-05,0.000183965580141502
"Sub27","0.05","Within",60,0.999435362598998,0.000287698579798899,3.71417269429554e-05,7.43204239470703e-05
"Sub28","0.05","Between",720,0.951531260385872,0.0226873404452865,0.000845507257739015,0.00165995806568615
"Sub28","0.05","Within",60,0.995586714313913,0.00259573156702107,0.00033510750434325,0.000670548567353537
"Sub29","0.05","Between",720,0.982826246431802,0.00750216399787564,0.000279589144626692,0.000548908659805526
"Sub29","0.05","Within",60,0.998043496715002,0.00147454608582652,0.000190363081120715,0.000380915645481193
"Sub3","0.005","Between",720,0.828911083595548,0.0715894830588857,0.00266798250989563,0.00523796696701788
"Sub3","0.005","Within",60,0.976170049096551,0.0189504638434469,0.00244649436228585,0.004895423911453
"Sub30","0.05","Between",720,0.973042418210207,0.011580177040946,0.000431567717583959,0.000847283458700224
"Sub30","0.05","Within",60,0.996247308963714,0.00266983526941117,0.000344674251184888,0.000689691583566996
"Sub31","0.05","Between",720,0.953175543191707,0.0204985692944289,0.000763936573063882,0.00149981288099298
"Sub31","0.05","Within",60,0.994974801334717,0.00347617635029245,0.000448772437105424,0.000897991572461361
"Sub32","0.05","Between",720,0.958988938190951,0.018012923819366,0.000671302035560459,0.00131794637862716
"Sub32","0.05","Within",60,0.995422892505309,0.00236631934078001,0.000305490513288316,0.000611285105139732
"Sub33","0.05","Between",720,0.934715155510413,0.0307810060030383,0.00114714036397705,0.00225214494876118
"Sub33","0.05","Within",60,0.993700487070598,0.00436405328332557,0.000563396856276057,0.00112735450543785
"Sub34","0.05","Between",720,0.947155111857559,0.0274223559974552,0.00102197086855848,0.00200640357682603
"Sub34","0.05","Within",60,0.995336125413224,0.00308889446945346,0.000398774561279515,0.000797946054019485
"Sub35","0.05","Between",720,0.958251921648276,0.015677332410322,0.000584259682922345,0.00114705883863808
"Sub35","0.05","Within",60,0.996549282907447,0.00199227775826792,0.00025720195262637,0.000514659918440645
"Sub36","0.05","Between",720,0.979553120407619,0.0112261221477307,0.000418372870767364,0.000821378426900414
"Sub36","0.05","Within",60,0.997403162957486,0.00247661599410248,0.000319729750003662,0.000639777751994644
"Sub37","0.05","Between",720,0.970424838139915,0.0128970743871773,0.000480645584009998,0.000943636505317971
"Sub37","0.05","Within",60,0.997488504601329,0.00143221173080777,0.000184897739388713,0.000369979521935784
"Sub38","0.05","Between",720,0.957816441924804,0.01919929013259,0.000715515297603535,0.00140474889896857
"Sub38","0.05","Within",60,0.995158133128441,0.00371052473496855,0.000479026683474129,0.000958530179612683
"Sub39","0.05","Between",720,0.977239982645614,0.0103009360760472,0.000383893221632024,0.00075368560562613
"Sub39","0.05","Within",60,0.99729237024892,0.00131593145156719,0.000169886019889009,0.000339941140599719
"Sub4","0.005","Between",720,0.937600514556804,0.0376983630228893,0.00140493503932742,0.00275826520582807
"Sub4","0.005","Within",60,0.983510580694059,0.0131931938592202,0.00170323400333486,0.00340816336847583
"Sub40","0.05","Between",720,0.91517303509782,0.0323930094913477,0.00120721618697415,0.00237008994098213
"Sub40","0.05","Within",60,0.991238034094649,0.00630521567568064,0.000813999843538568,0.00162880992468525
"Sub41","0.5","Between",720,0.339471349474578,0.243215051632539,0.00906408981002464,0.0177952452217723
"Sub41","0.5","Within",60,0.783763038697549,0.230939404121348,0.0298141488715016,0.0596579740935101
"Sub42","0.5","Between",720,0.15029397483783,0.1999317906581,0.0074510179129128,0.0146283514055054
"Sub42","0.5","Within",60,0.880974707976559,0.148732087193495,0.0192012298915692,0.0384215722666403
"Sub43","0.5","Between",720,0.518243417046883,0.274522815048586,0.0102308612637207,0.020085931277566
"Sub43","0.5","Within",60,0.786066182404568,0.216988554337845,0.0280131019089365,0.0560540874456976
"Sub44","0.5","Between",720,0.203325100298807,0.198447169430049,0.0073956893464668,0.0145197265542174
"Sub44","0.5","Within",60,0.798673650120228,0.211431409600573,0.0272956776082727,0.054618524735941
"Sub45","0.5","Between",720,0.396156893428144,0.221222925800804,0.00824449167119984,0.0161861537223076
"Sub45","0.5","Within",60,0.794476857493031,0.226322191953032,0.0292180693437084,0.058465221713423
"Sub46","0.5","Between",720,0.558500372102226,0.263504056882066,0.0098202163922545,0.019279724991004
"Sub46","0.5","Within",60,0.891882653853906,0.138969606019923,0.0179408989914723,0.0358996559606846
"Sub47","0.5","Between",720,0.366401475541609,0.219943247401123,0.00819680087301609,0.0160925238635695
"Sub47","0.5","Within",60,0.80013997397013,0.179267868042289,0.0231433822479298,0.0463098009114377
"Sub48","0.5","Between",720,0.302791867809602,0.218558003613645,0.00814517588511257,0.0159911701326855
"Sub48","0.5","Within",60,0.825529936311728,0.206352140122795,0.0266399467383281,0.0533064102959122
"Sub49","0.5","Between",720,0.438498746260447,0.228261200233171,0.00850679267245103,0.0167011211086655
"Sub49","0.5","Within",60,0.839121528818614,0.179735242773617,0.0232037200662921,0.0464305366071045
"Sub5","0.005","Between",720,0.782963454769702,0.0986098226931879,0.00367497111318616,0.00721495632906792
"Sub5","0.005","Within",60,0.964788802918937,0.0283877511427601,0.00366484291373968,0.00733333373181263
"Sub50","0.5","Between",720,0.251552170260243,0.197337921490093,0.00735435011650608,0.0144385665315512
"Sub50","0.5","Within",60,0.898672655431994,0.120955991298246,0.0156153513307372,0.0312462458400296
"Sub51","0.5","Between",720,0.247174621303064,0.214947804433144,0.00801063170544736,0.0157270237351446
"Sub51","0.5","Within",60,0.761034195487386,0.278702618336037,0.0359803533119957,0.0719965206792863
"Sub52","0.5","Between",720,0.189486561834355,0.171403542640133,0.00638783288212702,0.012541033347599
"Sub52","0.5","Within",60,0.850658438531915,0.185611361529892,0.0239623237357386,0.0479484990434677
"Sub53","0.5","Between",720,0.268337751114097,0.228915245655412,0.00853116750619275,0.0167489754605932
"Sub53","0.5","Within",60,0.890216233217686,0.141579737320652,0.0182778654934435,0.0365739243736994
"Sub54","0.5","Between",720,0.394795192041064,0.211055710418063,0.00786558192557166,0.0154422520199088
"Sub54","0.5","Within",60,0.895860205137779,0.119593914294441,0.0154395079456709,0.0308943840392445
"Sub55","0.5","Between",720,0.479138357960951,0.225828092995143,0.00841611611943805,0.016523098656268
"Sub55","0.5","Within",60,0.828428558147708,0.191126514532546,0.024674326926774,0.0493732141379136
"Sub56","0.5","Between",720,0.322172832218875,0.232359479186945,0.00865952651130759,0.0170009786975774
"Sub56","0.5","Within",60,0.843721898795324,0.185337279947991,0.023926939955665,0.0478776962630812
"Sub57","0.5","Between",720,0.14932707376856,0.193570404263059,0.00721394303940527,0.0141629096900757
"Sub57","0.5","Within",60,0.817208201997317,0.254293890904825,0.0328292001505557,0.0656910777675967
"Sub58","0.5","Between",720,0.480787809362829,0.250688881904664,0.00934262301903744,0.0183420807960744
"Sub58","0.5","Within",60,0.80641258651724,0.212819153115848,0.0274748345257216,0.0549770168997088
"Sub59","0.5","Between",720,0.173649773256709,0.195486747261372,0.00728536092627914,0.0143031222030559
"Sub59","0.5","Within",60,0.865631183418751,0.215662619404802,0.0278419244451422,0.0557115621318122
"Sub6","0.005","Between",720,0.775243941247567,0.102855071859961,0.00383318220849164,0.00752556724497615
"Sub6","0.005","Within",60,0.956901803705719,0.0363639527763552,0.00469456611683656,0.00939380510191974
"Sub60","0.5","Between",720,0.307935406340599,0.226363366994767,0.00843606460360053,0.0165622628939261
"Sub60","0.5","Within",60,0.823411438211791,0.223116243793318,0.0288041832159958,0.0576370374848153
