"Sub","noise","Type","N","corr","sd","se","ci"
"Sub1","0","Between",720,-0.0190542492697204,0.0808343754690316,0.0030125193077916,0.00591438533168392
"Sub1","0","Within",60,0.975112281589637,0.0275121172208724,0.00355179906051151,0.00710713350398178
"Sub10","0","Between",720,0.0379709862298781,0.0855892890007503,0.00318972447252588,0.00626228671252895
"Sub10","0","Within",60,0.975594234783496,0.0281404105232768,0.0036329113770697,0.00726943887452075
"Sub11","0","Between",720,0.0133341613782953,0.103129824742243,0.00384342164385491,0.00754567000951633
"Sub11","0","Within",60,0.973548936926691,0.0162691300215166,0.0021003356543539,0.00420276193679615
"Sub12","0","Between",720,-0.0074290147092055,0.0777914527487714,0.0028991162735786,0.00569174468656568
"Sub12","0","Within",60,0.98145925636396,0.0102593673729228,0.00132447863259846,0.00265027562220618
"Sub13","0","Between",720,-0.00760718063169647,0.0799977855094297,0.00298134144080887,0.00585317479647542
"Sub13","0","Within",60,0.980817151418751,0.0128014682208196,0.0016526624408746,0.00330696990573014
"Sub14","0","Between",720,0.0908501629678017,0.141716031305989,0.00528144465836132,0.010368895806484
"Sub14","0","Within",60,0.971256495593407,0.0216303777439511,0.00279246975914994,0.00558771908151029
"Sub15","0","Between",720,-0.0156810193594222,0.0947159493905958,0.00352985502318003,0.00693005442921828
"Sub15","0","Within",60,0.971129221050352,0.0204883987571755,0.00264504090589992,0.00529271462756013
"Sub16","0","Between",720,-2.47706564701911e-05,0.0901938805904438,0.00336132746924552,0.00659918953139111
"Sub16","0","Within",60,0.972136320100365,0.0174124798034125,0.00224794147649299,0.00449812050467539
"Sub17","0","Between",720,0.0107317993263786,0.0921447291005291,0.0034340313006181,0.00674192669915467
"Sub17","0","Within",60,0.977478625586833,0.0155218600732672,0.00200386351886419,0.00400972163956693
"Sub18","0","Between",720,0.0245743478942472,0.0895926506274987,0.00333892095145794,0.00655519951287264
"Sub18","0","Within",60,0.978620157191506,0.0224632048322376,0.00289998727392341,0.00580286113163554
"Sub19","0","Between",720,0.00444437902111735,0.0846208977738372,0.00315363466232268,0.00619143271217881
"Sub19","0","Within",60,0.97720460531793,0.0213737646518064,0.00275934115140677,0.0055214288905337
"Sub2","0","Between",720,0.0411092656998267,0.106730345208467,0.00397760511913586,0.00780910824737373
"Sub2","0","Within",60,0.979721168489857,0.0156998328495359,0.00202683970548309,0.00405569688279744
"Sub20","0","Between",720,0.0456134825946227,0.0981790412915493,0.00365891683822772,0.00718343747105448
"Sub20","0","Within",60,0.975402481732348,0.023604702737903,0.00304735401986916,0.00609774130915689
"Sub21","0.5","Between",720,0.273287968221885,0.196605769647986,0.00732706442835934,0.0143849973898289
"Sub21","0.5","Within",60,0.869198994568179,0.172775328204302,0.0223051989590261,0.0446326000243505
"Sub22","0.5","Between",720,0.197764486450932,0.145463738303378,0.00542111345179322,0.0106431031986263
"Sub22","0.5","Within",60,0.926572033373244,0.09755383120292,0.012594145453588,0.0252008268436009
"Sub23","0.5","Between",720,0.132552994054895,0.147577478961375,0.00549988791509466,0.0107977586489851
"Sub23","0.5","Within",60,0.931965571756076,0.0785157133187411,0.0101363350033027,0.020282759492363
"Sub24","0.5","Between",720,0.759167907419825,0.114976358911841,0.00428491590553818,0.00841244194308323
"Sub24","0.5","Within",60,0.970639705869285,0.0284806067367204,0.00367683051937336,0.00735732087527997
"Sub25","0.5","Between",720,0.317283728366855,0.174386394363746,0.0064989972024737,0.0127592787955085
"Sub25","0.5","Within",60,0.916974966894943,0.0880422078618478,0.0113662001604089,0.0227437139874044
"Sub26","0.5","Between",720,0.207815235143511,0.16444465203153,0.00612849034131333,0.0120318742144764
"Sub26","0.5","Within",60,0.934621112030068,0.0523912751722366,0.00676368454095475,0.0135341015052975
"Sub27","0.5","Between",720,0.523945905542696,0.16224134941546,0.0060463781009044,0.0118706658102779
"Sub27","0.5","Within",60,0.944357756539236,0.044370792189317,0.00572824464024183,0.0114621910496828
"Sub28","0.5","Between",720,0.233662535901339,0.177036080337591,0.00659774516841613,0.0129531476015251
"Sub28","0.5","Within",60,0.892973161710265,0.112434927821013,0.0145152867660938,0.0290450217305795
"Sub29","0.5","Between",720,0.476883509732913,0.186260963778357,0.00694153627605055,0.0136281019757252
"Sub29","0.5","Within",60,0.926630272383789,0.06386111024661,0.00824443388184787,0.0164970740925319
"Sub3","0","Between",720,0.00724640033077298,0.0735865216571675,0.00274240774421978,0.00538408371158293
"Sub3","0","Within",60,0.979722132382797,0.0196974733259024,0.00254293287178616,0.00508839692323283
"Sub30","0.5","Between",720,0.330914444099384,0.190295444283869,0.00709189248712093,0.0139232916420561
"Sub30","0.5","Within",60,0.910494860618081,0.086430758832285,0.0111581629852503,0.0223274325614415
"Sub31","0.5","Between",720,0.177833997694649,0.158374752830618,0.00590227855414982,0.0115877596581336
"Sub31","0.5","Within",60,0.912397166107848,0.0997810287492309,0.0128816754204405,0.0257761729783346
"Sub32","0.5","Between",720,0.466723283022017,0.232138057340693,0.00865127460630888,0.0169847779895001
"Sub32","0.5","Within",60,0.936605588749857,0.0551921432723149,0.00712527505783898,0.0142576424583434
"Sub33","0.5","Between",720,0.196235879498133,0.197744538544363,0.00736950383940873,0.0144683173637613
"Sub33","0.5","Within",60,0.908126484498136,0.112176116810441,0.0144818744083018,0.0289781637570667
"Sub34","0.5","Between",720,0.400093334685929,0.173709742138923,0.0064737798629432,0.0127097703782055
"Sub34","0.5","Within",60,0.922676288156319,0.0622323023860382,0.00803415569124234,0.0160763084050175
"Sub35","0.5","Between",720,0.405786235461877,0.183181610553422,0.00682677555708907,0.0134027958304256
"Sub35","0.5","Within",60,0.930323900592502,0.065853643281565,0.00850166879055284,0.0170117999559335
"Sub36","0.5","Between",720,0.400489495717611,0.18542795309856,0.0069104918009504,0.0135671533246453
"Sub36","0.5","Within",60,0.927177239133605,0.0676123659442603,0.00872871890999339,0.0174661261955284
"Sub37","0.5","Between",720,0.212317203237212,0.189261399362058,0.00705335590817163,0.0138476339768317
"Sub37","0.5","Within",60,0.887231293831653,0.126914086605741,0.0163845381274386,0.0327853850651157
"Sub38","0.5","Between",720,0.328590062242571,0.163058422518348,0.0060768286175818,0.0119304483612854
"Sub38","0.5","Within",60,0.931837823789256,0.075313553080264,0.00972293789411903,0.0194555537875714
"Sub39","0.5","Between",720,0.211661397431879,0.155190256818792,0.00578359939487449,0.0113547605610062
"Sub39","0.5","Within",60,0.886569567448572,0.11330504980012,0.0146276190305689,0.0292697980726044
"Sub4","0","Between",720,-0.0116646164268054,0.0766475734432034,0.00285648640882351,0.00560805080080467
"Sub4","0","Within",60,0.97610659900497,0.022453822205581,0.00289877598203059,0.00580043734215649
"Sub40","0.5","Between",720,0.342735124427054,0.1806060561658,0.00673079031224788,0.0132143509887017
"Sub40","0.5","Within",60,0.923654375750596,0.0828570175061685,0.0106967949639269,0.0214042372831756
"Sub41","5","Between",720,0.535463754370508,0.303900955629535,0.0113257199202465,0.0222354331784087
"Sub41","5","Within",60,0.908850025588063,0.0988179531139729,0.0127573428905574,0.0255273841606926
"Sub42","5","Between",720,0.892093726899114,0.129208738991665,0.00481532539453984,0.00945377837316808
"Sub42","5","Within",60,0.932991858638057,0.102554721130442,0.0132397575671049,0.026492693698786
"Sub43","5","Between",720,0.412237857867495,0.341836219634198,0.0127394837378936,0.0250110316497383
"Sub43","5","Within",60,0.882966257990148,0.130794867748104,0.0168855448185937,0.0337878971385082
"Sub44","5","Between",720,0.76552204545699,0.215055745768351,0.00801465444149909,0.0157349214475463
"Sub44","5","Within",60,0.886810823482329,0.132178611983389,0.0170641854312159,0.0341453561787041
"Sub45","5","Between",720,0.296751043114381,0.369880999928607,0.0137846509904327,0.0270629759647791
"Sub45","5","Within",60,0.840173553918118,0.242071546376339,0.0312513022568745,0.0625337113752454
"Sub46","5","Between",720,0.365318093887082,0.328670438913124,0.012248824060074,0.0240477347859342
"Sub46","5","Within",60,0.880448914866401,0.148448110439788,0.0191645686503087,0.0383482132923229
"Sub47","5","Between",720,0.491325723907406,0.319435214385381,0.0119046475628822,0.0233720237884191
"Sub47","5","Within",60,0.893808643906691,0.120330491289018,0.0155345996267775,0.0310846620536334
