person_name,images_in_subset
Alejandro_Toledo,10
Alvaro_Uribe,10
Andre_Agassi,10
Ariel_Sharon,10
Arnold_Schwarzenegger,10
Atal_Bihari_Vajpayee,10
Bill_Clinton,10
Colin_Powell,10
David_Beckham,10
Donald_Rumsfeld,10
George_Robertson,10
George_W_Bush,10
Gerhard_Schroeder,10
Gloria_Macapagal_Arroyo,10
Gray_Davis,10
Guillermo_Coria,10
Hans_Blix,10
Hugo_Chavez,10
Jack_Straw,10
Jacques_Chirac,10
Jean_Chretien,10
Jennifer_Capriati,10
Jeremy_Greenstock,10
John_Ashcroft,10
John_Negroponte,10
Jose_Maria_Aznar,10
Juan_Carlos_Ferrero,10
Junichiro_Koizumi,10
Kofi_Annan,10
Laura_Bush,10
Lleyton_Hewitt,10
Luiz_Inacio_Lula_da_Silva,10
Mahmoud_Abbas,10
Megawati_Sukarnoputri,10
Naomi_Watts,10
Nestor_Kirchner,10
Recep_Tayyip_Erdogan,10
Ricardo_Lagos,10
Roh_Moo-hyun,10
Rudolph_Giuliani,10
Saddam_Hussein,10
Serena_Williams,10
Silvio_Berlusconi,10
Tiger_Woods,10
Tom_Daschle,10
Tom_Ridge,10
Tony_Blair,10
Vicente_Fox,10
Vladimir_Putin,10
Winona_Ryder,10
