"Sub","slope","condition","Type","corr","split"
"Sub1","0.5","Inhibitated","Within",0.420573979616165,"train"
"Sub1","0.5","Inhibitated","Between",0.0909675806760788,"train"
"Sub2","0.5","Inhibitated","Within",0.478971213102341,"train"
"Sub2","0.5","Inhibitated","Between",0.175375670194626,"train"
"Sub3","0.5","Inhibitated","Within",0.465928733348846,"train"
"Sub3","0.5","Inhibitated","Between",0.162604779005051,"train"
"Sub4","0.5","Inhibitated","Within",0.469203025102615,"train"
"Sub4","0.5","Inhibitated","Between",0.163112685084343,"train"
"Sub5","0.5","Inhibitated","Within",0.437372088432312,"train"
"Sub5","0.5","Inhibitated","Between",0.124086230993271,"train"
"Sub6","0.5","Inhibitated","Within",0.413875102996826,"train"
"Sub6","0.5","Inhibitated","Between",0.0879927352070808,"train"
"Sub7","0.5","Inhibitated","Within",0.4723901450634,"train"
"Sub7","0.5","Inhibitated","Between",0.173436254262924,"train"
"Sub8","0.5","Inhibitated","Within",0.45063316822052,"train"
"Sub8","0.5","Inhibitated","Between",0.138748586177826,"train"
"Sub9","0.5","Inhibitated","Within",0.46020632982254,"train"
"Sub9","0.5","Inhibitated","Between",0.153030559420586,"train"
"Sub10","0.5","Inhibitated","Within",0.428627014160156,"train"
"Sub10","0.5","Inhibitated","Between",0.09557344019413,"train"
"Sub11","0.5","Inhibitated","Within",0.471216678619385,"train"
"Sub11","0.5","Inhibitated","Between",0.168047919869423,"train"
"Sub12","0.5","Inhibitated","Within",0.466944634914398,"train"
"Sub12","0.5","Inhibitated","Between",0.166132152080536,"train"
"Sub13","0.5","Inhibitated","Within",0.46442037820816,"train"
"Sub13","0.5","Inhibitated","Between",0.167155936360359,"train"
"Sub14","0.5","Inhibitated","Within",0.470085352659226,"train"
"Sub14","0.5","Inhibitated","Between",0.172447502613068,"train"
"Sub15","0.5","Inhibitated","Within",0.458143085241318,"train"
"Sub15","0.5","Inhibitated","Between",0.141602858901024,"train"
"Sub16","0.5","Inhibitated","Within",0.464077830314636,"train"
"Sub16","0.5","Inhibitated","Between",0.156225740909576,"train"
"Sub17","0.5","Inhibitated","Within",0.460323482751846,"train"
"Sub17","0.5","Inhibitated","Between",0.153809756040573,"train"
"Sub18","0.5","Inhibitated","Within",0.493254393339157,"train"
"Sub18","0.5","Inhibitated","Between",0.196138203144073,"train"
"Sub19","0.5","Inhibitated","Within",0.441521197557449,"train"
"Sub19","0.5","Inhibitated","Between",0.128932446241379,"train"
"Sub20","0.5","Inhibitated","Within",0.489371687173843,"train"
"Sub20","0.5","Inhibitated","Between",0.187872260808945,"train"
"Sub1","1","Balanced","Within",0.430739998817444,"train"
"Sub1","1","Balanced","Between",0.106764271855354,"train"
"Sub2","1","Balanced","Within",0.437540590763092,"train"
"Sub2","1","Balanced","Between",0.114820517599583,"train"
"Sub3","1","Balanced","Within",0.433546274900436,"train"
"Sub3","1","Balanced","Between",0.106073528528214,"train"
"Sub4","1","Balanced","Within",0.453305870294571,"train"
"Sub4","1","Balanced","Between",0.126210391521454,"train"
"Sub5","1","Balanced","Within",0.44817903637886,"train"
"Sub5","1","Balanced","Between",0.129726111888885,"train"
"Sub6","1","Balanced","Within",0.45387402176857,"train"
"Sub6","1","Balanced","Between",0.140615165233612,"train"
"Sub7","1","Balanced","Within",0.460247576236725,"train"
"Sub7","1","Balanced","Between",0.142268240451813,"train"
"Sub8","1","Balanced","Within",0.442778170108795,"train"
"Sub8","1","Balanced","Between",0.125883892178535,"train"
"Sub9","1","Balanced","Within",0.442543029785156,"train"
"Sub9","1","Balanced","Between",0.123635858297348,"train"
"Sub10","1","Balanced","Within",0.440440207719803,"train"
"Sub10","1","Balanced","Between",0.122657909989357,"train"
"Sub11","1","Balanced","Within",0.438981890678406,"train"
"Sub11","1","Balanced","Between",0.110551185905933,"train"
"Sub12","1","Balanced","Within",0.440479189157486,"train"
"Sub12","1","Balanced","Between",0.115946717560291,"train"
"Sub13","1","Balanced","Within",0.449797630310059,"train"
"Sub13","1","Balanced","Between",0.128838837146759,"train"
"Sub14","1","Balanced","Within",0.449411988258362,"train"
"Sub14","1","Balanced","Between",0.129579827189445,"train"
"Sub15","1","Balanced","Within",0.457113236188889,"train"
"Sub15","1","Balanced","Between",0.137179732322693,"train"
"Sub16","1","Balanced","Within",0.434018284082413,"train"
"Sub16","1","Balanced","Between",0.104009062051773,"train"
"Sub17","1","Balanced","Within",0.450252413749695,"train"
"Sub17","1","Balanced","Between",0.124715246260166,"train"
"Sub18","1","Balanced","Within",0.430060714483261,"train"
"Sub18","1","Balanced","Between",0.103605419397354,"train"
"Sub19","1","Balanced","Within",0.445412665605545,"train"
"Sub19","1","Balanced","Between",0.115621663630009,"train"
"Sub20","1","Balanced","Within",0.455610424280167,"train"
"Sub20","1","Balanced","Between",0.140025705099106,"train"
