Sub,slope,condition,Type,corr,split
Sub1,0.5,Inhibitated,Within,0.42057397961616516,train
Sub1,0.5,Inhibitated,Between,0.0909675806760788,train
Sub2,0.5,Inhibitated,Within,0.4789712131023407,train
Sub2,0.5,Inhibitated,Between,0.17537567019462585,train
Sub3,0.5,Inhibitated,Within,0.46592873334884644,train
Sub3,0.5,Inhibitated,Between,0.16260477900505066,train
Sub4,0.5,Inhibitated,Within,0.46920302510261536,train
Sub4,0.5,Inhibitated,Between,0.16311268508434296,train
Sub5,0.5,Inhibitated,Within,0.437372088432312,train
Sub5,0.5,Inhibitated,Between,0.12408623099327087,train
Sub6,0.5,Inhibitated,Within,0.41387510299682617,train
Sub6,0.5,Inhibitated,Between,0.08799273520708084,train
Sub7,0.5,Inhibitated,Within,0.47239014506340027,train
Sub7,0.5,Inhibitated,Between,0.1734362542629242,train
Sub8,0.5,Inhibitated,Within,0.45063316822052,train
Sub8,0.5,Inhibitated,Between,0.13874858617782593,train
Sub9,0.5,Inhibitated,Within,0.4602063298225403,train
Sub9,0.5,Inhibitated,Between,0.15303055942058563,train
Sub10,0.5,Inhibitated,Within,0.42862701416015625,train
Sub10,0.5,Inhibitated,Between,0.09557344019412994,train
Sub11,0.5,Inhibitated,Within,0.47121667861938477,train
Sub11,0.5,Inhibitated,Between,0.1680479198694229,train
Sub12,0.5,Inhibitated,Within,0.4669446349143982,train
Sub12,0.5,Inhibitated,Between,0.1661321520805359,train
Sub13,0.5,Inhibitated,Within,0.4644203782081604,train
Sub13,0.5,Inhibitated,Between,0.1671559363603592,train
Sub14,0.5,Inhibitated,Within,0.47008535265922546,train
Sub14,0.5,Inhibitated,Between,0.17244750261306763,train
Sub15,0.5,Inhibitated,Within,0.45814308524131775,train
Sub15,0.5,Inhibitated,Between,0.14160285890102386,train
Sub16,0.5,Inhibitated,Within,0.46407783031463623,train
Sub16,0.5,Inhibitated,Between,0.15622574090957642,train
Sub17,0.5,Inhibitated,Within,0.4603234827518463,train
Sub17,0.5,Inhibitated,Between,0.15380975604057312,train
Sub18,0.5,Inhibitated,Within,0.4932543933391571,train
Sub18,0.5,Inhibitated,Between,0.1961382031440735,train
Sub19,0.5,Inhibitated,Within,0.44152119755744934,train
Sub19,0.5,Inhibitated,Between,0.12893244624137878,train
Sub20,0.5,Inhibitated,Within,0.4893716871738434,train
Sub20,0.5,Inhibitated,Between,0.1878722608089447,train
Sub1,1.0,Balanced,Within,0.43073999881744385,train
Sub1,1.0,Balanced,Between,0.10676427185535431,train
Sub2,1.0,Balanced,Within,0.43754059076309204,train
Sub2,1.0,Balanced,Between,0.11482051759958267,train
Sub3,1.0,Balanced,Within,0.4335462749004364,train
Sub3,1.0,Balanced,Between,0.1060735285282135,train
Sub4,1.0,Balanced,Within,0.4533058702945709,train
Sub4,1.0,Balanced,Between,0.12621039152145386,train
Sub5,1.0,Balanced,Within,0.4481790363788605,train
Sub5,1.0,Balanced,Between,0.1297261118888855,train
Sub6,1.0,Balanced,Within,0.45387402176856995,train
Sub6,1.0,Balanced,Between,0.14061516523361206,train
Sub7,1.0,Balanced,Within,0.46024757623672485,train
Sub7,1.0,Balanced,Between,0.14226824045181274,train
Sub8,1.0,Balanced,Within,0.44277817010879517,train
Sub8,1.0,Balanced,Between,0.12588389217853546,train
Sub9,1.0,Balanced,Within,0.44254302978515625,train
Sub9,1.0,Balanced,Between,0.12363585829734802,train
Sub10,1.0,Balanced,Within,0.44044020771980286,train
Sub10,1.0,Balanced,Between,0.122657909989357,train
Sub11,1.0,Balanced,Within,0.43898189067840576,train
Sub11,1.0,Balanced,Between,0.11055118590593338,train
Sub12,1.0,Balanced,Within,0.44047918915748596,train
Sub12,1.0,Balanced,Between,0.11594671756029129,train
Sub13,1.0,Balanced,Within,0.4497976303100586,train
Sub13,1.0,Balanced,Between,0.12883883714675903,train
Sub14,1.0,Balanced,Within,0.4494119882583618,train
Sub14,1.0,Balanced,Between,0.1295798271894455,train
Sub15,1.0,Balanced,Within,0.45711323618888855,train
Sub15,1.0,Balanced,Between,0.13717973232269287,train
