Iteration,STD,Layer,Inactive_Percentage
0,0,conv_block1_relu,73.17282006666012
0,0,conv_block2_relu,70.42426134552025
0,0,conv_block3_relu,74.11625129132231
0,0.5,conv_block1_relu,41.20705077933536
0,0.5,conv_block2_relu,50.33013603996174
0,0.5,conv_block3_relu,29.777085485537192
0,5,conv_block1_relu,62.136984119203994
0,5,conv_block2_relu,55.81424699755553
0,5,conv_block3_relu,52.34213584710744
1,0,conv_block1_relu,84.74996323889815
1,0,conv_block2_relu,80.9630407057073
1,0,conv_block3_relu,59.544486053719005
1,0.5,conv_block1_relu,47.71177458092344
1,0.5,conv_block2_relu,49.83061430545222
1,0.5,conv_block3_relu,49.92332773760331
1,5,conv_block1_relu,70.17342049799039
1,5,conv_block2_relu,55.5312732490169
1,5,conv_block3_relu,53.046713584710744
2,0,conv_block1_relu,72.59214782864424
2,0,conv_block2_relu,69.58829312360506
2,0,conv_block3_relu,79.50913610537191
2,0.5,conv_block1_relu,41.054339035388686
2,0.5,conv_block2_relu,46.20808534381975
2,0.5,conv_block3_relu,57.6978951446281
2,5,conv_block1_relu,81.9915020586217
2,5,conv_block2_relu,57.83657933893082
2,5,conv_block3_relu,48.53434917355372
3,0,conv_block1_relu,78.5466804725027
3,0,conv_block2_relu,80.57112870655754
3,0,conv_block3_relu,62.742930010330575
3,0.5,conv_block1_relu,41.329128271738064
3,0.5,conv_block2_relu,48.47752152194707
3,0.5,conv_block3_relu,45.18982438016529
3,5,conv_block1_relu,55.03152264483874
3,5,conv_block2_relu,56.342663938782025
3,5,conv_block3_relu,68.36179622933885
4,0,conv_block1_relu,77.66502671306735
4,0,conv_block2_relu,77.3342012966309
4,0,conv_block3_relu,69.93640237603306
4,0.5,conv_block1_relu,59.157190471522405
4,0.5,conv_block2_relu,48.85880539908598
4,0.5,conv_block3_relu,43.64830836776859
4,5,conv_block1_relu,65.02594721105774
4,5,conv_block2_relu,54.60695876288659
4,5,conv_block3_relu,64.70009039256198
5,0,conv_block1_relu,69.953313400647
5,0,conv_block2_relu,81.27657030502711
5,0,conv_block3_relu,63.83248321280992
5,0.5,conv_block1_relu,51.736962062542894
5,0.5,conv_block2_relu,49.20787278137953
5,0.5,conv_block3_relu,51.257425103305785
5,5,conv_block1_relu,60.10394201548868
5,5,conv_block2_relu,58.86219311297693
5,5,conv_block3_relu,56.22982308884298
6,0,conv_block1_relu,77.08512033134006
6,0,conv_block2_relu,65.7681475183335
6,0,conv_block3_relu,71.67403796487604
6,0.5,conv_block1_relu,31.201597882560534
6,0.5,conv_block2_relu,48.15502444468063
6,0.5,conv_block3_relu,37.188468491735534
6,5,conv_block1_relu,56.52846534653465
6,5,conv_block2_relu,54.567767562971625
6,5,conv_block3_relu,62.03915934917356
7,0,conv_block1_relu,79.37089501029311
7,0,conv_block2_relu,63.438928153895205
7,0,conv_block3_relu,78.7956805268595
7,0.5,conv_block1_relu,29.510127683560434
7,0.5,conv_block2_relu,49.31116484217239
7,0.5,conv_block3_relu,44.39162577479338
7,5,conv_block1_relu,57.44289775512205
7,5,conv_block2_relu,53.1130433627378
7,5,conv_block3_relu,48.02589101239669
8,0,conv_block1_relu,69.27047593373199
8,0,conv_block2_relu,75.24942873844192
8,0,conv_block3_relu,76.81753615702479
8,0.5,conv_block1_relu,39.49566831683168
8,0.5,conv_block2_relu,45.113388776703154
8,0.5,conv_block3_relu,48.09287835743802
8,5,conv_block1_relu,48.5819404960298
8,5,conv_block2_relu,54.720214688064615
8,5,conv_block3_relu,52.38329674586777
9,0,conv_block1_relu,75.12621311636114
9,0,conv_block2_relu,76.80943777234562
9,0,conv_block3_relu,69.96303589876032
9,0.5,conv_block1_relu,41.59825017155181
9,0.5,conv_block2_relu,49.2101976830694
9,0.5,conv_block3_relu,47.16070506198347
9,5,conv_block1_relu,87.22260685226938
9,5,conv_block2_relu,57.49714369220958
9,5,conv_block3_relu,51.64562887396694
10,0,conv_block1_relu,85.67297323791784
10,0,conv_block2_relu,72.47615315123818
10,0,conv_block3_relu,72.5376097623967
10,0.5,conv_block1_relu,56.796055533771195
10,0.5,conv_block2_relu,49.54232649590817
10,0.5,conv_block3_relu,61.74215521694215
10,5,conv_block1_relu,76.77663341829233
10,5,conv_block2_relu,56.31808640663195
10,5,conv_block3_relu,56.09342716942148
11,0,conv_block1_relu,72.33190986177826
11,0,conv_block2_relu,71.10379689658838
11,0,conv_block3_relu,68.04300103305785
11,0.5,conv_block1_relu,51.97713459464758
11,0.5,conv_block2_relu,48.61402646402381
11,0.5,conv_block3_relu,53.911092458677686
11,5,conv_block1_relu,47.01162876188609
11,5,conv_block2_relu,55.844138590711026
11,5,conv_block3_relu,51.21465005165289
12,0,conv_block1_relu,77.95344819135379
12,0,conv_block2_relu,79.34557338718248
12,0,conv_block3_relu,69.68217329545455
12,0.5,conv_block1_relu,59.052727673757474
12,0.5,conv_block2_relu,49.77979859708789
12,0.5,conv_block3_relu,60.064243285123965
12,5,conv_block1_relu,55.24933217331635
12,5,conv_block2_relu,54.41731321075566
12,5,conv_block3_relu,59.61066632231405
13,0,conv_block1_relu,68.05690005881776
13,0,conv_block2_relu,72.88334307577851
13,0,conv_block3_relu,62.12955191115702
13,0.5,conv_block1_relu,47.77763822174297
13,0.5,conv_block2_relu,48.73093580614306
13,0.5,conv_block3_relu,53.436531508264466
13,5,conv_block1_relu,65.29889839231447
13,5,conv_block2_relu,53.027354129025404
13,5,conv_block3_relu,47.59410511363637
14,0,conv_block1_relu,68.79916797372807
14,0,conv_block2_relu,74.59513497714954
14,0,conv_block3_relu,83.94724948347107
14,0.5,conv_block1_relu,52.37829011861582
14,0.5,conv_block2_relu,48.757838239982995
14,0.5,conv_block3_relu,46.98799070247934
14,5,conv_block1_relu,74.53420620527399
14,5,conv_block2_relu,54.543854288447235
14,5,conv_block3_relu,55.33558238636363
15,0,conv_block1_relu,75.14658489363788
15,0,conv_block2_relu,76.81707673504093
15,0,conv_block3_relu,72.26804622933885
15,0.5,conv_block1_relu,47.334054259386335
15,0.5,conv_block2_relu,49.75522106493783
15,0.5,conv_block3_relu,53.38245738636363
15,5,conv_block1_relu,67.97587246348398
15,5,conv_block2_relu,55.24896375810394
15,5,conv_block3_relu,45.47633651859504
16,0,conv_block1_relu,77.87180791098912
16,0,conv_block2_relu,74.76750983101286
16,0,conv_block3_relu,68.40295712809917
16,0.5,conv_block1_relu,52.688768258013916
16,0.5,conv_block2_relu,48.57782442342438
16,0.5,conv_block3_relu,46.28502711776859
16,5,conv_block1_relu,61.73429688265857
16,5,conv_block2_relu,54.23929216707408
16,5,conv_block3_relu,54.051523760330575
17,0,conv_block1_relu,83.74041147926674
17,0,conv_block2_relu,72.83352375385269
17,0,conv_block3_relu,70.435982696281
17,0.5,conv_block1_relu,47.97385060288207
17,0.5,conv_block2_relu,49.16668880858752
17,0.5,conv_block3_relu,41.33684142561984
17,5,conv_block1_relu,49.452872267424766
17,5,conv_block2_relu,56.7305903921777
17,5,conv_block3_relu,63.14323992768595
18,0,conv_block1_relu,76.54166870895011
18,0,conv_block2_relu,67.7399962801573
18,0,conv_block3_relu,74.00487474173553
18,0.5,conv_block1_relu,60.50601656700324
18,0.5,conv_block2_relu,48.35363747475821
18,0.5,conv_block3_relu,52.12341813016529
18,5,conv_block1_relu,68.32877904127047
18,5,conv_block2_relu,58.51677914762462
18,5,conv_block3_relu,57.88513688016529
19,0,conv_block1_relu,77.96325115184786
19,0,conv_block2_relu,77.29202093740037
19,0,conv_block3_relu,67.5442277892562
19,0.5,conv_block1_relu,51.52022473286932
19,0.5,conv_block2_relu,49.098602401955574
19,0.5,conv_block3_relu,59.81082128099173
19,5,conv_block1_relu,53.00858984413293
19,5,conv_block2_relu,56.7913699649272
19,5,conv_block3_relu,54.13384555785123
