"Sub","slope","Type","N","corr","sd","se","ci"
"Sub1","0.005","Between",720,0.0550272619721466,0.12550783252195,0.00467740075379565,0.00918299522167577
"Sub1","0.005","Within",60,0.954406823361669,0.0465526729450128,0.00600992423458251,0.0120258306160603
"Sub10","0.005","Between",720,0.00891229760065193,0.0867564472683288,0.00323322189297265,0.00634768384335932
"Sub10","0.005","Within",60,0.964609153602395,0.0278594030810775,0.00359663347227642,0.00719684695470267
"Sub11","0.005","Between",720,0.0267200116115732,0.087896812586306,0.00327572079914232,0.0064311206222083
"Sub11","0.005","Within",60,0.970049901917577,0.0271513290080729,0.00350522150252216,0.00701393202572245
"Sub12","0.005","Between",720,0.0253823894226289,0.132784426557181,0.00494858340225308,0.0097153996693736
"Sub12","0.005","Within",60,0.945014506129405,0.0677992410703907,0.0087528443850375,0.0175144011595859
"Sub13","0.005","Between",720,0.0234135731933616,0.0864238001862076,0.00322082486817032,0.00632334515067184
"Sub13","0.005","Within",60,0.967777175846098,0.0339228077802011,0.00437941565297714,0.00876319048033467
"Sub14","0.005","Between",720,0.0332692512906995,0.0964608768317878,0.00359488462941854,0.00705772502979084
"Sub14","0.005","Within",60,0.97267607553099,0.0231142924379968,0.00298404232239099,0.00597105489512414
"Sub15","0.005","Between",720,0.0196622428939535,0.117898867261575,0.00439383136111845,0.00862627226483803
"Sub15","0.005","Within",60,0.952395037575469,0.0521417778963731,0.00673147458114331,0.0134696495245864
"Sub16","0.005","Between",720,0.0113104896380708,0.104796220550185,0.00390552454892123,0.00766759470883002
"Sub16","0.005","Within",60,0.960534604877379,0.0345343021134104,0.0044583592319378,0.0089211562169647
"Sub17","0.005","Between",720,0.0149657944083464,0.106148597226515,0.0039559246519122,0.00776654366131448
"Sub17","0.005","Within",60,0.959966122473156,0.0412565713553469,0.00532620045936255,0.0106577025019561
"Sub18","0.005","Between",720,0.0709815338115614,0.142392565341829,0.00530665759324849,0.0104183955762879
"Sub18","0.005","Within",60,0.927899661434643,0.0613478385275489,0.00791997189810062,0.0158478271626883
"Sub19","0.005","Between",720,0.0039308115076819,0.0950140436710132,0.00354096434109199,0.00695186500707367
"Sub19","0.005","Within",60,0.960950115341221,0.0317035899262113,0.00409291585997352,0.00818990571871119
"Sub2","0.005","Between",720,-0.009097204598704,0.0905239653468663,0.00337362900180714,0.00662334074713651
"Sub2","0.005","Within",60,0.975551486330318,0.0177659487162278,0.0022935741169175,0.0045894312072548
"Sub20","0.005","Between",720,0.0383433655400522,0.110873585187462,0.00413201455647131,0.00811225548659253
"Sub20","0.005","Within",60,0.955029446150997,0.0427755545752977,0.00552230034983048,0.011050097476426
"Sub21","0.05","Between",720,0.0792562603685548,0.128888635632511,0.00480339584669159,0.00943035746342491
"Sub21","0.05","Within",60,0.962258366734745,0.0389575154349776,0.00502939361630955,0.010063793380822
"Sub22","0.05","Between",720,0.0123311197667114,0.0886806766352947,0.00330493368745327,0.00648847337599001
"Sub22","0.05","Within",60,0.976527091977167,0.0152115930207187,0.00196380821461762,0.00392957116090162
"Sub23","0.05","Between",720,0.0171308780032791,0.0791707329486141,0.00295051901169306,0.00579266208136088
"Sub23","0.05","Within",60,0.977325931309107,0.0141063829829321,0.00182112621227065,0.00364406513366897
"Sub24","0.05","Between",720,0.0726471114031368,0.129679595216749,0.00483287316998847,0.00948822937417863
"Sub24","0.05","Within",60,0.971555335110598,0.0208772806140831,0.00269524533774809,0.00539317346364788
"Sub25","0.05","Between",720,0.0768936762968709,0.125022112173477,0.00465929902517498,0.00914745666165548
"Sub25","0.05","Within",60,0.968621172296203,0.0240844734277444,0.0031092921495943,0.00622167922046434
"Sub26","0.05","Between",720,0.0446648907213191,0.0993396950982669,0.00370217185173046,0.00726835869188142
"Sub26","0.05","Within",60,0.968755059306215,0.0267325119685564,0.00345115245521698,0.00690574011196716
"Sub27","0.05","Between",720,0.0268218857730975,0.0958307766649422,0.00357140218265685,0.00701162267342747
"Sub27","0.05","Within",60,0.958135202081156,0.0347171017816305,0.00448195856762809,0.00896837837860692
"Sub28","0.05","Between",720,0.0345188201784583,0.0997787137561277,0.00371853311110325,0.00730048024283448
"Sub28","0.05","Within",60,0.969549202025322,0.0265925945047749,0.00343308918831466,0.00686959559838244
"Sub29","0.05","Between",720,0.0718483954028262,0.103981246331851,0.00387515225305282,0.00760796572630066
"Sub29","0.05","Within",60,0.967114108452147,0.0344803393415147,0.00445139266804223,0.00890721615480849
"Sub3","0.005","Between",720,0.0336683463229313,0.123257622622883,0.00459354038216303,0.00901835476589156
"Sub3","0.005","Within",60,0.961602843234327,0.0325218216288898,0.00419854911856728,0.0084012773809297
"Sub30","0.05","Between",720,0.154711427318163,0.15542286766764,0.00579226828937997,0.0113717799315949
"Sub30","0.05","Within",60,0.971395879038114,0.0179138302584897,0.00231266554193056,0.00462763306046706
"Sub31","0.05","Between",720,0.035231298779242,0.108036613597258,0.00402628686770578,0.00790468360814169
"Sub31","0.05","Within",60,0.971345516327663,0.0247583108680022,0.00319628418906662,0.00639574988937891
"Sub32","0.05","Between",720,0.186137775023409,0.168627007222744,0.00628435751654006,0.0123378833850957
"Sub32","0.05","Within",60,0.944921441106329,0.0451426581355863,0.00582789210542202,0.0116615851669466
"Sub33","0.05","Between",720,0.193344635394055,0.162701506109325,0.00606352712836748,0.0119043339617875
