"Sub","noise","Type","N","corr","sd","se","ci"
"Sub1","0","Between",720,0.929285098619608,0.0334931349668659,0.00124821544275812,0.00245058250293567
"Sub1","0","Within",60,0.990508172025298,0.00584024405032819,0.0007539722648236,0.00150869501711877
"Sub10","0","Between",720,0.953393732790224,0.0212276095823812,0.000791106300433837,0.00155315436053374
"Sub10","0","Within",60,0.995290032912137,0.00291760105023548,0.000376660675947976,0.000753696271679502
"Sub11","0","Between",720,0.96782427826502,0.0144159367646901,0.000537250242753092,0.00105476666886887
"Sub11","0","Within",60,0.997062486313826,0.00176346928458333,0.000227662905691318,0.000455552422050473
"Sub12","0","Between",720,0.977399766950243,0.0118070751454246,0.000440023710676959,0.000863884846576713
"Sub12","0","Within",60,0.99736549395733,0.00194071406532888,0.000250545108492308,0.000501339604095732
"Sub13","0","Between",720,0.958736018638487,0.018566588189192,0.000691935888354634,0.00135845617917395
"Sub13","0","Within",60,0.995536915272318,0.00317006947666078,0.000409254209647589,0.000818915781967991
"Sub14","0","Between",720,0.972550697709534,0.0126853203049729,0.00047275397530463,0.000928143155731897
"Sub14","0","Within",60,0.996667620997473,0.00246795363093158,0.000318611443727005,0.000637540026303766
"Sub15","0","Between",720,0.980686037705931,0.00945575471845671,0.00035239517215056,0.000691846466089996
"Sub15","0","Within",60,0.99779356919765,0.00134342173650084,0.00017343500041336,0.00034704263422587
"Sub16","0","Between",720,0.948555636178473,0.0241887977335128,0.000901463267102124,0.00176981475611159
"Sub16","0","Within",60,0.994633224492914,0.00449867840011484,0.000580776884119593,0.00116213186082381
"Sub17","0","Between",720,0.966706654601987,0.0194104113373965,0.000723383320360853,0.00142019594299742
"Sub17","0","Within",60,0.995490757353779,0.00367382655031195,0.000474288968207094,0.000949050033260649
"Sub18","0","Between",720,0.946671472579276,0.027207844450342,0.00101397649520342,0.00199070847260383
"Sub18","0","Within",60,0.994061581057406,0.0036697412007184,0.000473761551842453,0.000947994675552673
"Sub19","0","Between",720,0.981843624271781,0.00940533786372937,0.000350516246910859,0.00068815763068626
"Sub19","0","Within",60,0.99795248418223,0.00145864927508129,0.000188310811678245,0.000376809063812219
"Sub2","0","Between",720,0.92177430237888,0.0268230220593243,0.00099963501144376,0.00196255228420586
"Sub2","0","Within",60,0.99283084637569,0.00393631566131529,0.000508176166722985,0.0010168581608673
"Sub20","0","Between",720,0.987530499739998,0.00652870399340015,0.000243310432236951,0.000477683793675936
"Sub20","0","Within",60,0.998465290020418,0.000880183452207313,0.000113631195066876,0.000227375496135465
"Sub21","0.5","Between",720,0.982250284385742,0.0105263322105892,0.000392293239610385,0.000770177099303401
"Sub21","0.5","Within",60,0.997037784487628,0.00186888839249095,0.00024127245400126,0.000482785065316535
"Sub22","0.5","Between",720,0.993257249842293,0.00409378701264788,0.000152566434094774,0.000299528928356954
"Sub22","0.5","Within",60,0.99880255592021,0.00088696221087023,0.00011450632904719,0.000229126635185282
"Sub23","0.5","Between",720,0.986551863474028,0.00847817981303629,0.000315963106456927,0.000620320526195082
